,raw_line
66,"Chandler: Look, we're not just messing around! I love her. Okay, I'm in love with her. I'm in love with you. (He kisses her and turns back to Rachel.)
Rachel: What?!
Chandler: You're in love with me. Okay, I don't know what to do.
Rachel: What?
Chandler: Okay, it's just... I love you.
Rachel: Oh!
Chandler: Okay, but you know how you always say you're in love with someone forever?
Rachel: Yeah!
Chandler: Okay, so this is different. This is, what it is!
Rachel: No...
Chandler: Okay, it"
67,"Monica: Of course you can look at it! Yeah, I want your opinion too!
Chandler: Okay, but only if you're on the same page as me. And I'm not gonna say 'yes' to you because you're just a little crazy.
Monica: Okay.
Chandler: Okay, but if you're not on the same page with me then you're not on the same page as her.
Monica: Okay.
Chandler: Okay, just so you know, I'm not asking you to go to Vegas or anything. (Monica nods) So you-you gonna come with me?
Monica: And I'm not asking you to"
68,"Phoebe: It’s so weird, I have never been fired from anything before!
Monica: Oh, I’m so glad you are not against your work. It’s the best thing that ever happened to you.
Phoebe: Yeah?
Monica: Okay, you’re on notice, Phoebe I have a surprise for you! (She’s just doing Chandler’s thumbs up sign.)
Phoebe: Oh my God! I’m fired!
Monica: What?!
Phoebe: (shocked) Oh! Okay, we’ll just have to get you another job!
Monica: No"
69,"Rachel: Yes, I’ve done my studying and I really know my stuff.
Ross: Oh, I’ve done mine.
Rachel: All right, I’m sorry. I’ll just hand it back to you.
Ross: Thank you. (Gets up and Rachel looks at his hand) Yeah. (He starts to take out the stuff from the ground and falls back.) Oh, I’m sorry. I’m very sorry.
Rachel: No-no-no, you didn’t just fell down! You’ve got your professor, you’ve got a baby, and you’ve got Ross. It�"
70,"Phoebe: Oh, yeah, that's the word I use when I can't remember the real thing.
Joey: Hey, you've got to use the real thing.
Phoebe: The real thing?
Joey: Oh, yeah, I missed it.
Phoebe: Oh, all right, so I'm gonna go.
Joey: No, wait a minute, you can't go, you can't miss it, it's like four in the morning, and you know that I'm late.
Phoebe: Okay, so we're gonna eat at two.
Joey: I'll see you there at three, I'll see you at four, I'll see you at"
71,"Rachel: Oh yeah! Y'know, if it's not a headboard, it's just not worth it.
Chandler: Y'know what, I'm-I'm sorry, but you're right. I mean, it's-it's just a little less [kissing] …
Rachel: Ohhhh! No-no-no! I-I-I-I just, I just mean-I just don't want to get your head in the game here!
Phoebe: All right, I'm sorry. So what do you want to do?
Rachel: Well, I don't want to go back to the place I went. So, I'm just gonna, I'm gonna just stay"
72,"Rachel: Well, y’know, sometimes that helps. (She realises what that could’ve meant.)
Joey: Hey, I can’t believe I actually broke up with you.
Rachel: Oh, no! No! I’m sorry! No! I know! I know! I know! I know! I’m sorry! No! No-no, it’s just, I’m just too embarrassed! Don’t talk about it! It really wouldn’t be that big of a deal.
Joey: Yeah? So how come you're still single?
Rachel: No! I’m just too embarrassed!
Joey: Hey!"
73,"Joey: Oh! Wait-wait! (Reaches inside the shower.) Is it my bologna sandwich?
Monica: No, it's my bologna sandwich!
Joey: Oh! They're both from you! Why would you want to poison me?!
Monica: Joey, I ran into your mom in the hallway and you went to her room.
Joey: I'm not gonna go to her room!
Monica: Joey! Maybe you'd go over there and she'd tell you to come back.
Joey: (looks at her in shock) What?!
Monica: Look Joey, c'mon! She is our friend!
Joey: Oh yeah? Then what"
74,"Phoebe: So, how are things going with crazy? Has she cooked your rabbit yet?
Ross: Yeah, she's cooking.
Phoebe: Ohh.
Ross: I mean, she's cooking, just you hang on to her and-and she's-she's-she's cooking.
Phoebe: Well, wait a minute, I can't do that!
Ross: Oh, I understand.
Phoebe: No, I can't do that!
Ross: Well, then what am I gonna do with that book?
Phoebe: Well, you know, you could write something funny about it.
Ross: Funny book?
Phoebe:"
75,"Ross: I’m telling you, this looks exactly like your wedding! Aren’t these the same flowers?
Joey: Oh-oh, I’m sorry. I’m sorry, I’m sorry, you’re flowers are completely different.
Phoebe: Oh, well, we’re not the only ones who get to choose our own flowers.
Joey: Ah, I’m not the only one who chose different flowers!
Phoebe: Oh!
Joey: Ah! (He turns around and holds up his hand like a pitcher of cold water.)
Phoebe: Oh Joey, that’s not what we’re here to"
76,"Monica: Hey, look at me. I'm making jam, been at it since 4 o'clock this morning.
Chandler: I can't believe this.
Monica: I know.
Chandler: What about your traffic jam?
Monica: I can't believe this.
Chandler: Excuse me?
Monica: Yeah, y'know, sometimes when I'm in the jam...
Chandler: OK, look, I'm gonna go call her.
Monica: Chandler! (Chandler hangs up and goes to get the jam) Hey, hold on. (runs over to where Chandler is jamming) What's going on?
Chandler: (se"
77,"Rachel: Well umm, maybe we could uhh… (Grabs the phone) Ah-ha! Too slow!!
[Scene: Chandler's bedroom, Chandler and Monica are there, Chandler is now asleep.]
Monica: (Chandler's sleeping) Oh, what am I doing? I want some company. Please, come and join me in the bedroom? Do you remember where the door is?
Chandler: Yeah, I'm sorry, I'm just a little tired.
Monica: Chandler, you're a very interesting person.
Chandler: Ah that's okay, I'll just talk to you and your grandmother about your plans for the day.
Monica: Oh, what plans?!
Ch"
78,"Chandler: Well, I can't say ""hump"" or ""screw"" in front of the B-A-B-Y. So, how do you explain that?
Monica: What? You don't think Joey's baby is a little silly?
Chandler: Well, we've never had a baby before, so unless something horrible happened to us on the way to the hospital, we don't really know what to expect.
Monica: Okay, then you're not a doctor, and you're not qualified to give babies.
Chandler: I'm not qualified to give babies, because, well, I was the first one to do that!
Monica: Wait a minute, we didn't have to go to the"
79,"Phoebe: Where'd you get too? We lost you after you opened up all the presents.
Chandler: Well, I think I broke them.
Phoebe: We broke them!
Chandler: No, it’s not what you’d think. I just, I broke ‘em.
Phoebe: Okay, if you say I broke them, I’ll say you broke them.
Chandler: Then we’ll both go out and find them.
Phoebe: Okay, that’s not fair.
Chandler: Fair? You just say, ""Fair?""
Phoebe: Fair? You don�"
80,"Rachel: (giggles) (To Ross) I can imagine you in a short plaid skirt and knee socks.
Ross: Please, you’re not gonna judge me.
Rachel: You’re gonna judge me?!!
Ross: Oh please. If you’re gonna be wearing my underwear, at least let me make a living at it.
Rachel: Just stop it! (Goes to leave.)
Ross: Hey, can I ask you a question?
Rachel: Yeah!
Ross: Do you believe that there is one perfect person for everyone?
Rachel: Oh please! Yes, that’s exactly what I was trying to say! All right, fine! Fine! Fine! And"
81,"Ross: (realizing his joke wasn't so good, but still giggling) Look, I took it too far!
Phoebe: No, you knew!
Rachel: No, you didn't!
Phoebe: No, you didn't!
Rachel: No, you didn't!
Monica: (entering with Joey and Chandler) Hey!
Joey: Hey!
Chandler: Hey!
Monica: How was the honeymooning?
Joey: Oh, it was great! Actually, it was even better than I thought.
Monica: Really?
Joey: Well, I have to say it was pretty great!
Monica: Yeah?
Joey:"
82,"Rachel: (excited and clapping her hands in front of her face) Goody, what is it!
Ross: Nothing, I-I-I, I just thought you'd like that. (Rachel stops clapping and starts looking around.)
Rachel: I'm sorry.
Ross: Yeah.
Rachel: I'm sorry.
Ross: Yeah.
Rachel: Sorry. (She starts to leave.)
Ross: What?
Rachel: I don't wanna go in.
Ross: What, what do you want to go in in?
Rachel: Well, I mean I-I-I don't, I don't know this is gonna be a good idea.
Ross: Oh! What about all"
83,"Ross: Eww! No!! Her ear! All right, Monica categorizes her towels. How many categories are there?
Monica: Oh, I have categories! I have categories for towels, I have categories for newspapers, I have categories for the carpet store…
Ross: What?!
Monica: You have categories for the carpet store, the carpet store, and the newspapers!
Ross: Oh, categories.
Monica: Okay, I have categories for the carpet store, the Newspaper category, the Rag Doll Category, and the Household Goods Category.
Ross: Oh my God!
Monica: Yeah.
Ross: And the Plug-In Car Category.
Monica: I have categories for the Hummus, the"
84,"Ross: Okay! Ho-ho! We did not steal your thunder because we are not getting back together!
Monica: Nooo! You're right! I'm sorry! I'm so sorry! I'm so sorry! (they hug) Okay, that's enough for now! It's over!
Chandler: Y'know if we ever broke up, and I was the boyfriend and you were the mom, and I got pregnant…
Monica: No.
Chandler: We're not getting back together.
Monica: Oh. (they hug) No, not for another two weeks.
Chandler: Okay.
Monica: So we're not getting back together?
Ch"
85,"Rachel: Wait a minute! What do you mean, you're taking over my job?
Chandler: Well, I'm taking over your job!
Rachel: Oh, you're taking over my job!
Chandler: Okay, I'm- I'm gonna tell him that I do not want him around my office anymore.
Rachel: Is this really what you want?
Chandler: Yeah!
Rachel: Chandler!
Chandler: Yeah?
Rachel: Yeah!
Chandler: When did you get to be so weird?
Rachel: Okay, this is how it's gonna be. I'm gonna ask him to come back to my office, I'm gonna"
86,"Joey: Man, I wish Ross was coming with us! Y'know? I'm gonna miss him!
Rachel: Oh, I know.
Phoebe: Oh, I know.
Rachel: I don't know what I'm gonna do about it.
Joey: Hey, Rach, you wanna do something?
Rachel: Oh yeah, sure! Just tell me what you are gonna do.
Joey: (exhales) Alright.
Rachel: Alright, I'm gonna talk to him.
Joey: Alright, well, you'll tell me!
Rachel: Alright, I'll tell you.
(Joey starts to leave)
Chandler: Oh, come on!"
87,"CHANDLER: Of course the packaging does appeal to grown-ups and kids alike.
MR. GREENE: Is it, is it just the, uh, the little things?
PHOEBE: No, no, it's, it's the whole, uh, complex, uh, whole, uh, How I Met Your Mother thing.
MR. GREENE: And, um, how was that?
PHOEBE: It was... It was nothing, nothing. It was... It was... It was nothing. It was... It was...
MR. GREENE: Well, what was it?
PHOEBE: Nothing. It was... It was, um... It was..."
88,"Ross: Okay, okay! I'm going. I'm going. (goes across the hall to knock on another door.)
Phoebe and Rachel: Oh-oh-oh! (they go into another room.)
(Ross enters and finds Chandler waiting with Joey.)
Ross: (to Chandler) Hi!
Chandler: Is it you again?
Ross: (To Joey) Hey, Joey, can I talk to you for a second?
Joey: Uh-huh.
Ross: What's going on?
Joey: Nothing, I just, I fell asleep.
Ross: Oh. Oh, sorry. (Joey goes back to sleeping on the couch.)
Chandler: Oh, what"
89,"Phoebe: That's easy for you to say, I don't see three kids coming out your vagina!
Joey: Hey!
Phoebe: Hey, I need to make a joke. (She gets out of the way and Ross and Chandler listen.) Yes?
Ross: Yeah, I can make it. I don't know, can you get my mom a bottle of wine?
Chandler: Uh, actually, I thought, I thought you guys were gonna be here celebrating your anniversary.
Ross: Yeah.
Chandler: Yeah, we're just gonna be hanging out here, are we?
Ross: Uh, no, actually we're gonna be hanging out here.
Chandler"
90,"Monica: No! No. They’re umm… They’re just uh…ground beef smileys. (Holding up one of the shells.)
Chandler: Oh, I’m so sorry man. I’m so, so sorry.
Monica: No, it’s okay. Ground beef smileys.
Chandler: Oooh.
Monica: All right, fine. Fine. Larger number please.
Chandler: (To Monica) I’m out of here.
Monica: I’m moving in with him.
Chandler: Oh, get out of here!
Monica: I’m moving in with him!
Chandler: Oh, I"
91,"Chandler: Yes, but there's two in martini, soo everybody back to my office.
Phoebe: No, you go first!
Ross: No, I go second!
Monica: No, you go third!
Chandler: No, you go second!
Joey: No, you go third!
Chandler: All right, I'll go second!
Chandler: Ok, you're in third!
Monica: Oh, great, we're fourth!
Joey: (to Phoebe) Uh, Phoebe, you have the microphones, and you're going to sing!
Phoebe: No, I don't, I"
92,"Rachel: Ross, honey, it's a nice couch. It's not a magic couch.
Ross: Well, I don't know, maybe it's just because you live here.
Rachel: Oh honey, that's not true. Maybe it's because you live here.
Ross: Oh, I don't know, maybe it's just because you live here.
Rachel: Oh, well try this one. (She sits on the couch that Ross is on.) Ooh, the back feels weird. Oh, you wanna lie down?
Ross: No, I'm just gonna lie down.
Rachel: Oh Ross, you're gonna lie down here with me.
Ross: Well, maybe it's"
93,"PHOEBE: Well, not so good. Upstate's pretty big, he's pretty small, you do the math.
CHANDLER: Well, uh, this is kind of dumb. I mean, I'm not a doctor, I'm not the one that does the math.
PHOEBE: Oh, I know, I know, but this is what we do.
CHANDLER: Yeah, but when we talked about your mum, I didn't think she'd be that bad.
PHOEBE: Oh God, oh God, she's not gonna be that bad is she?
CHANDLER: No, she's not gonna be that bad.
MONICA: I can't believe Ross is getting married."
94,"Rachel: I was just going to say that I left my keys.
Joey: Oh! Well then you don't have to go. I mean, you know, you could tell Ross that I wanna get my hair cut the same way I always cut it.
Monica: Thanks man.
Joey: Oh! And listen, you know what I wanna say?
Phoebe: What?
Joey: I wanna say that my girlfriend is, is, just, y'know, totally nuts.
Monica: Yes. Yes, I agree.
Joey: And I wanna say that I'm sorry.
Monica: I'm sorry? How come you"
95,"Joey: Oh, wait-wait! (Reaches into the shower again.) Maybe it’s a pickle?! (Pause.) No, it’s not a pickle, it’s just a painful reminder that I am still a baby. (He grabs a pickle and rips it off of the wall.)
The Girls: No, no, no! You don’t want to know anything about plumbing, Joey!
Joey: Hey, you guys, you wanna know something? I’m gonna go in for a peek-a-boo right now?
The Girls: Yeah!
Joey: Thanks! (In a baby voice) And uh, I’ve got a really"
96,"Monica: 'Cause, Gary and Phoebe think they're a hotter couple than we are!
Monica: Oh God!
Phoebe: Okay, so what do you say?
Monica: Well, unless I'm talking about going out with them, in which case I think you should go out with me. (Monica turns around and looks at her, and it looks like she just said 'Go out with me!' and the camera cuts to them.)
Phoebe: Why?
Monica: Because!
Phoebe: Because?
Monica: Because! (Phoebe turns around and shouts 'Because!' in the other direction, and Monica looks like she just said '"
97,"Joey: Well, not that it’s any of your business, but, no, we haven’t, okay?
Monica: They don’t know that we know that they know that they know that we know they know!
Joey: Well, they know that you know.
Monica: They know that I know.
Joey: Well, they know that I know.
Monica: They know that I know that they know that I know them.
Joey: Well, as I have just now learned, they’re still in the dark.
Monica: They know that I know them!
Joey: Well, they know I know them! (Monica reaches over and kisses"
98,"Joey: Oh, and guess what, I got an audition for All My Children.
Chandler: Oh my God!
Joey: Yeah?
Chandler: (to Ross) All right, I'm gonna go get the jacket, and you, uh, you, will be doing the talking.
Ross: (to Joey) I thought you were, uh, teaching me how to be a good dad.
Joey: No-no, I'm teaching you how to be a good dad.
Ross: A good dad, huh? Be a good dad.
Joey: Be a good dad!
Ross: Be a good dad!
Joey: Be a good"
99,"Chandler: Is this why they don’t like me or why you don’t like me?
Monica: Honey, I’m sorry. I’m just not in the mood.
Chandler: Oh?
Monica: Yeah!
Chandler: But you’re not in the mood.
Monica: No I’m not.
Chandler: Oh?
Monica: Yeah!
Chandler: Okay.
Monica: Okay. (They sit on the couch and Chandler moves some wrapping paper to get the wedding dress.)
Chandler: Okay. (He pulls the dress out of the box and the wrapping paper falls off.)"
